review_id,product_name,reviewer_name,rating,review_text,platform
1,Cotton T-Shirt,Sneha,5,"Very happy with this Cotton T-Shirt, will definitely buy again from this brand.",Amazon
2,Air Fryer,Nisha,4,Absolutely loved this Air Fryer! Works perfectly and arrived on time. Customer support responded quickly.,Amazon
3,LED Desk Lamp,Arjun,5,Impressed by the quality of the LED Desk Lamp. Packaging was also very good. Customer support responded quickly.,Amazon
4,Wireless Mouse,Rohit,2,"I regret buying this Wireless Mouse, it stopped functioning after few uses.",Flipkart
5,Smartphone Back Cover,Nisha,5,"Excellent quality Smartphone Back Cover, totally worth the price. Highly recommended!",Flipkart
6,Wireless Mouse,Karan,4,Great purchase! The Wireless Mouse is durable and easy to use.,Amazon
7,LED Desk Lamp,Rahul,5,"Perfect LED Desk Lamp for daily use, no issues at all after a month.",Amazon
8,Cotton T-Shirt,Sneha,4,"Very happy with this Cotton T-Shirt, will definitely buy again from this brand.",Flipkart
9,Bluetooth Speaker,Rohit,5,Amazing value for money. The Bluetooth Speaker looks premium and works great.,Flipkart
10,Power Bank 10000mAh,Anjali,3,"Average Power Bank 10000mAh, quality is decent for the price range.",Amazon
11,Laptop Backpack,Priya,5,"Very happy with this Laptop Backpack, will definitely buy again from this brand.",Amazon
12,Gaming Keyboard,Rohit,5,Amazing value for money. The Gaming Keyboard looks premium and works great.,Flipkart
13,Smartwatch,Kavya,2,"I regret buying this Smartwatch, it stopped functioning after few uses. Packaging was neat.",Flipkart
14,Power Bank 10000mAh,Vikram,2,"The Power Bank 10000mAh is a total scam, completely different from the pictures.",Flipkart
15,Smartphone Back Cover,Divya,1,"Waste of money, the Smartphone Back Cover quality is really poor.",Amazon
16,Running Shoes,Amit,5,Great purchase! The Running Shoes is durable and easy to use.,Amazon
17,Cotton T-Shirt,Suresh,3,"Decent Cotton T-Shirt for the price, some minor issues but usable.",Amazon
18,Bluetooth Speaker,Arjun,4,Great purchase! The Bluetooth Speaker is durable and easy to use.,Amazon
19,LED Desk Lamp,Sanjay,3,"Decent LED Desk Lamp for the price, some minor issues but usable.",Amazon
20,Laptop Backpack,Riya,4,Best Laptop Backpack I have bought online. Great build quality and fast delivery.,Amazon
21,Smartphone Back Cover,Deepak,3,"Decent Smartphone Back Cover for the price, some minor issues but usable. Packaging was neat.",Amazon
22,Smartphone Back Cover,Isha,1,"Waste of money, the Smartphone Back Cover quality is really poor. Not sure if I will repurchase.",Amazon
23,Bluetooth Speaker,Isha,5,"Perfect Bluetooth Speaker for daily use, no issues at all after a month.",Amazon
24,Power Bank 10000mAh,Manoj,5,Amazing value for money. The Power Bank 10000mAh looks premium and works great.,Amazon
25,Smartwatch,Kavya,4,Amazing value for money. The Smartwatch looks premium and works great.,Amazon
26,Wireless Bluetooth Earbuds,Suresh,5,Absolutely loved this Wireless Bluetooth Earbuds! Works perfectly and arrived on time. Shipping was quick.,Amazon
27,LED Desk Lamp,Deepak,5,Great purchase! The LED Desk Lamp is durable and easy to use.,Flipkart
28,Smartwatch,Divya,1,"I regret buying this Smartwatch, it stopped functioning after few uses.",Flipkart
29,Running Shoes,Suresh,4,Absolutely loved this Running Shoes! Works perfectly and arrived on time.,Amazon
30,Smartwatch,Arjun,5,Impressed by the quality of the Smartwatch. Packaging was also very good. Packaging was neat.,Flipkart
31,Smartwatch,Isha,3,"Average Smartwatch, quality is decent for the price range.",Amazon
32,Wireless Bluetooth Earbuds,Kavya,1,"Really bad Wireless Bluetooth Earbuds, would not recommend to anyone.",Amazon
33,Running Shoes,Anjali,5,"Superb product! The Running Shoes exceeded my expectations, five stars.",Flipkart
34,Wireless Bluetooth Earbuds,Manoj,3,"Decent Wireless Bluetooth Earbuds for the price, some minor issues but usable.",Flipkart
35,Running Shoes,Rohit,2,"Really bad Running Shoes, would not recommend to anyone. Would consider buying again.",Amazon
36,Air Fryer,Riya,2,Very disappointed with this Air Fryer. Stopped working within a week. Customer support responded quickly.,Amazon
37,Wireless Bluetooth Earbuds,Rahul,3,"Average Wireless Bluetooth Earbuds, quality is decent for the price range.",Amazon
38,Cotton T-Shirt,Kavya,3,"Okay-ish product, the Cotton T-Shirt performs as expected, nothing more. Customer support responded quickly.",Amazon
39,Air Fryer,Rohit,5,"Perfect Air Fryer for daily use, no issues at all after a month.",Flipkart
40,Smartwatch,Rahul,5,Best Smartwatch I have bought online. Great build quality and fast delivery.,Amazon
41,Kitchen Mixer Grinder,Sanjay,1,"The Kitchen Mixer Grinder is a total scam, completely different from the pictures. Packaging was neat.",Flipkart
42,Laptop Backpack,Pooja,3,"Average Laptop Backpack, quality is decent for the price range.",Flipkart
43,Laptop Backpack,Sanjay,5,Impressed by the quality of the Laptop Backpack. Packaging was also very good.,Amazon
44,Cotton T-Shirt,Vikram,1,"Terrible experience, the Cotton T-Shirt does not match the product description.",Flipkart
45,Smartphone Back Cover,Nisha,3,"It's a fine Smartphone Back Cover, met basic expectations, could be better.",Amazon
46,Power Bank 10000mAh,Priya,5,"Very happy with this Power Bank 10000mAh, will definitely buy again from this brand.",Amazon
47,Cotton T-Shirt,Arjun,4,"Very happy with this Cotton T-Shirt, will definitely buy again from this brand. Packaging was neat.",Amazon
48,Power Bank 10000mAh,Vikram,4,"This Power Bank 10000mAh is fantastic, exactly as described. Very satisfied customer.",Amazon
49,Gaming Keyboard,Priya,5,Impressed by the quality of the Gaming Keyboard. Packaging was also very good.,Flipkart
50,USB-C Charging Cable,Rohit,3,"The USB-C Charging Cable is okay, does the job but nothing special.",Amazon
51,Cotton T-Shirt,Vikram,5,Impressed by the quality of the Cotton T-Shirt. Packaging was also very good.,Amazon
52,Gaming Keyboard,Suresh,5,Best Gaming Keyboard I have bought online. Great build quality and fast delivery.,Flipkart
53,Wireless Mouse,Sneha,2,"Not worth the price, this Wireless Mouse broke on the second day.",Flipkart
54,Gaming Keyboard,Pooja,5,Great purchase! The Gaming Keyboard is durable and easy to use. Not sure if I will repurchase.,Flipkart
