review_id,product_name,reviewer_name,rating,review_text,platform,clean_review,vader_sentiment,vader_score,textblob_sentiment,textblob_score,true_sentiment
1,Cotton T-Shirt,Sneha,5,"Very happy with this Cotton T-Shirt, will definitely buy again from this brand.",Amazon,happy cotton shirt definitely buy brand,positive,0.7713,positive,0.5,positive
2,Air Fryer,Nisha,4,Absolutely loved this Air Fryer! Works perfectly and arrived on time. Customer support responded quickly.,Amazon,absolutely loved air fryer work perfectly arrived time customer support responded quickly,positive,0.9078,positive,0.7361111111111112,positive
3,LED Desk Lamp,Arjun,5,Impressed by the quality of the LED Desk Lamp. Packaging was also very good. Customer support responded quickly.,Amazon,impressed quality led desk lamp packaging also good customer support responded quickly,positive,0.8503,positive,0.7477777777777778,positive
4,Wireless Mouse,Rohit,2,"I regret buying this Wireless Mouse, it stopped functioning after few uses.",Flipkart,regret buying wireless mouse stopped functioning us,negative,-0.5719,negative,-0.2,negative
5,Smartphone Back Cover,Nisha,5,"Excellent quality Smartphone Back Cover, totally worth the price. Highly recommended!",Flipkart,excellent quality smartphone back cover totally worth price highly recommended,positive,0.8062,positive,0.375,positive
6,Wireless Mouse,Karan,4,Great purchase! The Wireless Mouse is durable and easy to use.,Amazon,great purchase wireless mouse durable easy use,positive,0.807,positive,0.7166666666666667,positive
7,LED Desk Lamp,Rahul,5,"Perfect LED Desk Lamp for daily use, no issues at all after a month.",Amazon,perfect led desk lamp daily use no issue month,positive,0.3612,positive,0.5,positive
8,Cotton T-Shirt,Sneha,4,"Very happy with this Cotton T-Shirt, will definitely buy again from this brand.",Flipkart,happy cotton shirt definitely buy brand,positive,0.7713,positive,0.5,positive
9,Bluetooth Speaker,Rohit,5,Amazing value for money. The Bluetooth Speaker looks premium and works great.,Flipkart,amazing value money bluetooth speaker look premium work great,positive,0.8834,positive,0.7000000000000001,positive
10,Power Bank 10000mAh,Anjali,3,"Average Power Bank 10000mAh, quality is decent for the price range.",Amazon,average power bank mah quality decent price range,neutral,0.0,neutral,0.008333333333333331,neutral
11,Laptop Backpack,Priya,5,"Very happy with this Laptop Backpack, will definitely buy again from this brand.",Amazon,happy laptop backpack definitely buy brand,positive,0.7713,positive,0.5,positive
12,Gaming Keyboard,Rohit,5,Amazing value for money. The Gaming Keyboard looks premium and works great.,Flipkart,amazing value money gaming keyboard look premium work great,positive,0.8834,positive,0.7000000000000001,positive
13,Smartwatch,Kavya,2,"I regret buying this Smartwatch, it stopped functioning after few uses. Packaging was neat.",Flipkart,regret buying smartwatch stopped functioning us packaging neat,negative,-0.1779,negative,-0.2,negative
14,Power Bank 10000mAh,Vikram,2,"The Power Bank 10000mAh is a total scam, completely different from the pictures.",Flipkart,power bank mah total scam completely different picture,negative,-0.5719,neutral,0.0,negative
15,Smartphone Back Cover,Divya,1,"Waste of money, the Smartphone Back Cover quality is really poor.",Amazon,waste money smartphone back cover quality really poor,negative,-0.7346,negative,-0.20000000000000004,negative
16,Running Shoes,Amit,5,Great purchase! The Running Shoes is durable and easy to use.,Amazon,great purchase running shoe durable easy use,positive,0.807,positive,0.7166666666666667,positive
17,Cotton T-Shirt,Suresh,3,"Decent Cotton T-Shirt for the price, some minor issues but usable.",Amazon,decent cotton shirt price minor issue usable,neutral,0.0,neutral,0.05833333333333333,neutral
18,Bluetooth Speaker,Arjun,4,Great purchase! The Bluetooth Speaker is durable and easy to use.,Amazon,great purchase bluetooth speaker durable easy use,positive,0.807,positive,0.7166666666666667,positive
19,LED Desk Lamp,Sanjay,3,"Decent LED Desk Lamp for the price, some minor issues but usable.",Amazon,decent led desk lamp price minor issue usable,neutral,0.0,neutral,0.05833333333333333,neutral
20,Laptop Backpack,Riya,4,Best Laptop Backpack I have bought online. Great build quality and fast delivery.,Amazon,best laptop backpack bought online great build quality fast delivery,positive,0.8519,positive,0.6666666666666666,positive
21,Smartphone Back Cover,Deepak,3,"Decent Smartphone Back Cover for the price, some minor issues but usable. Packaging was neat.",Amazon,decent smartphone back cover price minor issue usable packaging neat,positive,0.6124,neutral,0.03888888888888888,neutral
22,Smartphone Back Cover,Isha,1,"Waste of money, the Smartphone Back Cover quality is really poor. Not sure if I will repurchase.",Amazon,waste money smartphone back cover quality really poor not sure repurchase,negative,-0.8136,negative,-0.21250000000000002,negative
23,Bluetooth Speaker,Isha,5,"Perfect Bluetooth Speaker for daily use, no issues at all after a month.",Amazon,perfect bluetooth speaker daily use no issue month,positive,0.3612,positive,0.5,positive
24,Power Bank 10000mAh,Manoj,5,Amazing value for money. The Power Bank 10000mAh looks premium and works great.,Amazon,amazing value money power bank mah look premium work great,positive,0.8834,positive,0.7000000000000001,positive
25,Smartwatch,Kavya,4,Amazing value for money. The Smartwatch looks premium and works great.,Amazon,amazing value money smartwatch look premium work great,positive,0.8834,positive,0.7000000000000001,positive
26,Wireless Bluetooth Earbuds,Suresh,5,Absolutely loved this Wireless Bluetooth Earbuds! Works perfectly and arrived on time. Shipping was quick.,Amazon,absolutely loved wireless bluetooth earbuds work perfectly arrived time shipping quick,positive,0.8653,positive,0.7361111111111112,positive
27,LED Desk Lamp,Deepak,5,Great purchase! The LED Desk Lamp is durable and easy to use.,Flipkart,great purchase led desk lamp durable easy use,positive,0.807,positive,0.7166666666666667,positive
28,Smartwatch,Divya,1,"I regret buying this Smartwatch, it stopped functioning after few uses.",Flipkart,regret buying smartwatch stopped functioning us,negative,-0.5719,negative,-0.2,negative
29,Running Shoes,Suresh,4,Absolutely loved this Running Shoes! Works perfectly and arrived on time.,Amazon,absolutely loved running shoe work perfectly arrived time,positive,0.8653,positive,0.9375,positive
30,Smartwatch,Arjun,5,Impressed by the quality of the Smartwatch. Packaging was also very good. Packaging was neat.,Flipkart,impressed quality smartwatch packaging also good packaging neat,positive,0.8516,positive,0.955,positive
